date,product_id,units_sold,promo_flag,discount_pct,realised_selling_price,revenue,product_cost,impressions,clicks,ad_spend,ad_attributed_units,fulfilment_fees,profit,cpc,roas,acos,profit_margin_pct,click_to_order_proxy
2025-01-01,SKU001,1,0,0.0,41.7,41.7,24.77,1585,55,43.61,2,1.31,-27.99,0.7929090909090909,0.9562027058014217,1.0458033573141485,-0.6712230215827337,0.03636363636363636
2025-01-02,SKU001,4,0,0.0,41.7,166.8,99.08,1758,33,29.74,2,10.15,27.83,0.9012121212121211,5.608607935440485,0.17829736211031172,0.16684652278177456,0.06060606060606061
2025-01-03,SKU001,1,0,0.0,41.7,41.7,24.77,1868,48,38.48,5,1.73,-23.28,0.8016666666666666,1.083679833679834,0.9227817745803356,-0.5582733812949641,0.10416666666666667
2025-01-04,SKU001,1,0,0.0,41.7,41.7,24.77,2647,70,57.45,3,1.03,-41.55,0.8207142857142857,0.7258485639686684,1.3776978417266186,-0.9964028776978416,0.04285714285714286
2025-01-05,SKU001,1,0,0.0,41.7,41.7,24.77,2332,60,50.24,6,1.13,-34.44,0.8373333333333334,0.830015923566879,1.2047961630695443,-0.8258992805755394,0.1
2025-01-06,SKU001,1,0,0.0,41.7,41.7,24.77,2883,83,75.68,5,1.57,-60.32,0.9118072289156627,0.5510042283298097,1.8148681055155875,-1.4465227817745803,0.060240963855421686
2025-01-07,SKU001,1,0,0.0,41.7,41.7,24.77,1880,34,30.81,3,1.4,-15.28,0.9061764705882352,1.3534566699123662,0.7388489208633092,-0.3664268585131894,0.08823529411764706
2025-01-08,SKU001,1,0,0.0,41.7,41.7,24.77,2604,90,71.32,4,1.42,-55.81,0.7924444444444444,0.5846887268648346,1.71031175059952,-1.338369304556355,0.044444444444444446
2025-01-09,SKU001,5,0,0.0,41.7,208.5,123.85,1549,36,29.3,2,4.18,51.17,0.8138888888888889,7.116040955631399,0.1405275779376499,0.24541966426858514,0.05555555555555555
2025-01-10,SKU001,3,0,0.0,41.7,125.1,74.31,2856,65,56.17,1,6.31,-11.69,0.8641538461538462,2.227167527149724,0.4490007993605116,-0.09344524380495603,0.015384615384615385
2025-01-11,SKU001,4,0,0.0,41.7,166.8,99.08,997,32,28.11,4,10.46,29.15,0.8784375,5.9338313767342585,0.1685251798561151,0.17476019184652275,0.125
2025-01-12,SKU001,1,0,0.0,41.7,41.7,24.77,2792,61,51.76,6,0.94,-35.77,0.8485245901639344,0.8056414219474498,1.2412470023980815,-0.8577937649880096,0.09836065573770492
2025-01-13,SKU001,2,0,0.0,41.7,83.4,49.54,2264,76,61.83,5,5.41,-33.38,0.8135526315789473,1.3488597768073751,0.7413669064748201,-0.4002398081534772,0.06578947368421052
2025-01-14,SKU001,8,0,0.0,41.7,333.6,198.16,3168,82,72.66,4,18.0,44.78,0.8860975609756098,4.591246903385632,0.21780575539568342,0.1342326139088729,0.04878048780487805
2025-01-15,SKU001,6,0,0.0,41.7,250.2,148.62,2952,71,56.17,3,5.78,39.63,0.7911267605633803,4.454335054299448,0.2245003996802558,0.15839328537170266,0.04225352112676056
2025-01-16,SKU001,1,0,0.0,41.7,41.7,24.77,1868,32,29.06,2,2.34,-14.47,0.908125,1.4349621472814866,0.6968824940047961,-0.34700239808153477,0.0625
2025-01-17,SKU001,2,0,0.0,41.7,83.4,49.54,2443,67,57.82,3,3.46,-27.42,0.8629850746268657,1.4424074714631616,0.6932853717026378,-0.32877697841726616,0.04477611940298507
2025-01-18,SKU001,4,0,0.0,41.7,166.8,99.08,2635,63,50.22,3,7.84,9.66,0.7971428571428572,3.3213859020310634,0.30107913669064745,0.0579136690647482,0.047619047619047616
2025-01-19,SKU001,3,0,0.0,41.7,125.1,74.31,2392,65,56.1,5,5.05,-10.36,0.8630769230769231,2.229946524064171,0.4484412470023981,-0.08281374900079937,0.07692307692307693
2025-01-20,SKU001,2,0,0.0,41.7,83.4,49.54,833,22,18.04,1,3.03,12.79,0.82,4.623059866962307,0.21630695443645082,0.15335731414868103,0.045454545454545456
2025-01-21,SKU001,5,1,0.066,38.95,194.75,123.85,2324,59,46.9,1,5.03,18.97,0.7949152542372881,4.152452025586354,0.24082156611039793,0.09740693196405648,0.01694915254237288
2025-01-22,SKU001,3,0,0.0,41.7,125.1,74.31,2740,65,55.95,3,3.15,-8.31,0.8607692307692308,2.235924932975871,0.44724220623501204,-0.06642685851318945,0.046153846153846156
2025-01-23,SKU001,1,0,0.0,41.7,41.7,24.77,2284,52,42.52,6,1.55,-27.14,0.8176923076923077,0.9807149576669802,1.0196642685851318,-0.6508393285371702,0.11538461538461539
2025-01-24,SKU001,4,1,0.1575,35.13,140.52,99.08,2316,58,49.9,2,10.13,-18.59,0.8603448275862069,2.816032064128257,0.35510959294050665,-0.13229433532593224,0.034482758620689655
2025-01-25,SKU001,2,1,0.107,37.24,74.48,49.54,1844,36,32.32,1,4.2,-11.58,0.8977777777777778,2.3044554455445545,0.4339419978517723,-0.1554779806659506,0.027777777777777776
2025-01-26,SKU001,6,0,0.0,41.7,250.2,148.62,1176,37,29.95,2,16.22,55.41,0.8094594594594594,8.353923205342237,0.11970423661071143,0.22146282973621104,0.05405405405405406
2025-01-27,SKU001,2,0,0.0,41.7,83.4,49.54,1373,25,21.94,3,1.89,10.03,0.8776,3.8012762078395625,0.2630695443645084,0.12026378896882492,0.12
2025-01-28,SKU001,2,0,0.0,41.7,83.4,49.54,2466,50,43.27,2,5.51,-14.92,0.8654000000000001,1.9274324012017563,0.5188249400479616,-0.1788968824940048,0.04
2025-01-29,SKU001,3,0,0.0,41.7,125.1,74.31,3120,97,78.72,7,4.64,-32.57,0.8115463917525773,1.5891768292682926,0.6292565947242207,-0.2603517186250999,0.07216494845360824
2025-01-30,SKU001,0,0,0.0,41.7,0.0,0.0,2247,56,48.29,4,0.0,-48.29,0.8623214285714286,0.0,,,0.07142857142857142
2025-01-31,SKU001,5,0,0.0,41.7,208.5,123.85,1459,35,28.62,1,6.06,49.97,0.8177142857142857,7.285115303983228,0.13726618705035973,0.2396642685851319,0.02857142857142857
2025-02-01,SKU001,1,0,0.0,41.7,41.7,24.77,2726,71,61.26,5,0.83,-45.16,0.8628169014084507,0.6807051909892263,1.4690647482014387,-1.0829736211031173,0.07042253521126761
2025-02-02,SKU001,6,0,0.0,41.7,250.2,148.62,1836,47,39.07,3,8.05,54.46,0.8312765957446808,6.403890453033017,0.1561550759392486,0.2176658673061551,0.06382978723404255
2025-02-03,SKU001,3,0,0.0,41.7,125.1,74.31,2809,70,63.87,1,8.17,-21.25,0.9124285714285714,1.9586660403945515,0.5105515587529976,-0.1698641087130296,0.014285714285714285
2025-02-04,SKU001,4,0,0.0,41.7,166.8,99.08,2686,66,55.94,0,9.1,2.68,0.8475757575757575,2.9817661780479088,0.3353717026378897,0.01606714628297362,0.0
2025-02-05,SKU001,1,0,0.0,41.7,41.7,24.77,2752,61,54.67,1,1.04,-38.78,0.8962295081967213,0.7627583683921713,1.311031175059952,-0.9299760191846522,0.01639344262295082
2025-02-06,SKU001,2,0,0.0,41.7,83.4,49.54,1377,46,37.87,3,3.16,-7.17,0.8232608695652174,2.2022709268550305,0.45407673860911263,-0.08597122302158272,0.06521739130434782
2025-02-07,SKU001,2,0,0.0,41.7,83.4,49.54,2219,70,56.43,0,2.22,-24.79,0.8061428571428572,1.4779372674109517,0.6766187050359712,-0.29724220623501196,0.0
2025-02-08,SKU001,4,0,0.0,41.7,166.8,99.08,2284,74,61.27,2,7.03,-0.58,0.827972972972973,2.722376366900604,0.367326139088729,-0.0034772182254196636,0.02702702702702703
2025-02-09,SKU001,0,0,0.0,41.7,0.0,0.0,2225,45,38.81,2,0.0,-38.81,0.8624444444444445,0.0,,,0.044444444444444446
2025-02-10,SKU001,1,0,0.0,41.7,41.7,24.77,2394,67,55.31,5,1.33,-39.71,0.8255223880597016,0.7539323811245706,1.3263788968824939,-0.9522781774580336,0.07462686567164178
2025-02-11,SKU001,3,0,0.0,41.7,125.1,74.31,1554,39,33.94,2,3.46,13.39,0.8702564102564102,3.685916322922805,0.2713029576338929,0.1070343725019984,0.05128205128205128
2025-02-12,SKU001,1,0,0.0,41.7,41.7,24.77,2128,55,47.35,2,2.47,-32.89,0.860909090909091,0.880675818373812,1.1354916067146283,-0.7887290167865707,0.03636363636363636
2025-02-13,SKU001,0,0,0.0,41.7,0.0,0.0,2558,52,42.72,1,0.0,-42.72,0.8215384615384616,0.0,,,0.019230769230769232
2025-02-14,SKU001,6,0,0.0,41.7,250.2,148.62,2587,67,60.69,6,7.84,33.05,0.905820895522388,4.12259021255561,0.24256594724220623,0.1320943245403677,0.08955223880597014
2025-02-15,SKU001,3,0,0.0,41.7,125.1,74.31,2556,65,58.39,4,6.35,-13.95,0.8983076923076924,2.14249015242336,0.46674660271782575,-0.11151079136690648,0.06153846153846154
2025-02-16,SKU001,0,0,0.0,41.7,0.0,0.0,2265,68,57.53,5,0.0,-57.53,0.8460294117647059,0.0,,,0.07352941176470588
2025-02-17,SKU001,3,0,0.0,41.7,125.1,74.31,657,27,23.92,2,2.46,24.41,0.885925925925926,5.2299331103678925,0.19120703437250203,0.19512390087929657,0.07407407407407407
2025-02-18,SKU001,0,1,0.1122,37.02,0.0,0.0,1583,37,30.66,1,0.0,-30.66,0.8286486486486486,0.0,,,0.02702702702702703
