product_id,product_name,category,tier,selling_price,unit_cost,base_margin_pct,base_daily_units,ad_strategy,base_ctr,base_conversion,base_cpc,seasonality_strength
SKU001,LED Mirror Pro,Beauty,Mid,41.7,24.77,0.406,2.8,Average,0.0263,0.0514,0.83,0.064
SKU002,Scalp Massager Plus,Beauty,Budget,10.57,6.8,0.3567,10.3,Average,0.0245,0.1218,0.3,0.123
SKU003,Wireless Charger Max,Electronics,Mid,23.53,12.64,0.4628,3.36,Efficient,0.0528,0.1748,1.0,0.126
SKU004,Dog Toy Max,Pet Supplies,Budget,17.57,9.43,0.4633,14.0,Efficient,0.0288,0.0573,0.94,0.156
SKU005,Foam Roller Lite,Fitness,Premium,128.64,54.18,0.5788,4.08,Average,0.0516,0.0433,0.36,0.061
SKU006,Treat Pouch Lite,Pet Supplies,Budget,19.6,12.25,0.375,7.37,Average,0.0181,0.1503,0.23,0.297
SKU007,Air Fryer Liner Pro,Home & Kitchen,Budget,17.96,8.5,0.5267,11.27,Underinvested,0.04,0.1672,1.04,0.162
SKU008,LED Lamp Lite,Home & Kitchen,Mid,43.04,18.92,0.5604,5.78,Efficient,0.0427,0.1441,0.74,0.243
SKU009,USB Hub Plus,Electronics,Budget,9.51,7.03,0.2608,11.64,Average,0.0339,0.1661,0.41,0.153
SKU010,Laptop Sleeve Max,Electronics,Premium,111.89,56.71,0.4932,4.02,Average,0.0247,0.0458,0.63,0.105
SKU011,Scalp Massager Pro,Beauty,Budget,9.71,6.07,0.3749,14.88,Average,0.0399,0.0301,0.52,0.126
SKU012,USB Hub Lite,Electronics,Mid,30.89,20.53,0.3354,3.35,Efficient,0.036,0.0906,0.22,0.113
SKU013,Scalp Massager Plus,Beauty,Mid,26.89,10.78,0.5991,4.13,Underinvested,0.0297,0.035,0.51,0.209
SKU014,Skipping Rope Max,Fitness,Budget,15.74,8.54,0.4574,4.97,Average,0.0224,0.1505,0.64,0.296
SKU015,Mini Projector Basic,Electronics,Budget,15.11,7.65,0.4937,14.3,Average,0.0215,0.1367,1.0,0.137
SKU016,Face Serum Basic,Beauty,Budget,15.25,6.97,0.543,12.11,Wasteful,0.021,0.1112,0.88,0.107
SKU017,Massage Ball Basic,Fitness,Mid,30.61,12.28,0.5988,9.72,Average,0.05,0.0583,0.44,0.225
SKU018,Wireless Charger Basic,Electronics,Mid,24.78,17.18,0.3067,9.19,Average,0.0124,0.0452,0.85,0.051
SKU019,Yoga Mat Pro,Fitness,Mid,29.4,14.72,0.4993,3.9,Average,0.0441,0.1274,1.04,0.214
SKU020,LED Lamp Max,Home & Kitchen,Mid,43.0,28.48,0.3377,6.72,Underinvested,0.0329,0.1659,0.61,0.138
SKU021,Air Fryer Liner Basic,Home & Kitchen,Budget,18.11,11.8,0.3484,4.29,Average,0.0196,0.1711,1.15,0.279
SKU022,Wireless Charger Basic,Electronics,Premium,86.42,48.1,0.4434,2.79,Underinvested,0.0152,0.0759,0.35,0.117
SKU023,Webcam Cover Plus,Electronics,Mid,52.89,26.78,0.4937,6.56,Efficient,0.0384,0.1785,0.3,0.18
SKU024,Yoga Mat Basic,Fitness,Mid,26.51,13.3,0.4983,6.42,Average,0.0301,0.0684,0.79,0.07
SKU025,Air Fryer Liner Lite,Home & Kitchen,Budget,8.99,5.49,0.3893,4.61,Underinvested,0.0132,0.1168,0.61,0.218
SKU026,USB Hub Plus,Electronics,Mid,31.46,17.09,0.4568,2.24,Efficient,0.0474,0.084,0.28,0.181
SKU027,Lint Roller Max,Pet Supplies,Premium,98.44,44.82,0.5447,1.28,Average,0.0421,0.0508,0.29,0.292
SKU028,Ankle Weights Pro,Fitness,Mid,30.94,18.45,0.4037,2.63,Efficient,0.0534,0.1554,0.88,0.152
SKU029,Yoga Mat Basic,Fitness,Budget,11.36,8.15,0.2826,6.19,Underinvested,0.0394,0.1075,0.84,0.159
SKU030,Harness Pro,Pet Supplies,Budget,12.98,6.29,0.5154,4.17,Efficient,0.014,0.0361,1.05,0.226
SKU031,Travel Bottle Set Plus,Beauty,Mid,48.63,30.58,0.3712,5.72,Average,0.0141,0.1724,1.08,0.115
SKU032,Yoga Mat Pro,Fitness,Mid,50.26,26.11,0.4805,3.3,Efficient,0.0396,0.034,0.77,0.285
SKU033,Hair Brush Pro,Beauty,Mid,37.12,20.75,0.441,9.53,Average,0.0533,0.1658,0.36,0.067
SKU034,Skipping Rope Pro,Fitness,Mid,33.11,17.23,0.4796,5.08,Wasteful,0.0266,0.0691,0.67,0.223
SKU035,Skipping Rope Pro,Fitness,Premium,124.83,58.52,0.5312,1.63,Efficient,0.0443,0.151,1.19,0.153
SKU036,Resistance Band Lite,Fitness,Budget,17.52,8.6,0.5091,6.86,Average,0.035,0.1045,0.56,0.124
SKU037,USB Hub Max,Electronics,Budget,20.68,14.85,0.2819,7.83,Underinvested,0.0529,0.116,0.81,0.162
SKU038,Wireless Charger Basic,Electronics,Mid,29.02,12.15,0.5813,8.25,Efficient,0.052,0.1761,1.2,0.064
SKU039,Mini Projector Lite,Electronics,Budget,9.64,6.75,0.2998,13.14,Average,0.0163,0.0426,0.89,0.068
SKU040,Protein Shaker Plus,Fitness,Budget,15.19,10.15,0.3318,10.98,Underinvested,0.0499,0.0655,1.1,0.198
SKU041,Scalp Massager Max,Beauty,Budget,18.88,10.47,0.4454,9.09,Underinvested,0.0168,0.1039,0.16,0.167
SKU042,Foam Roller Max,Fitness,Mid,49.15,24.06,0.5105,7.45,Efficient,0.0292,0.1017,0.24,0.182
SKU043,Training Pads Plus,Pet Supplies,Budget,21.58,15.86,0.2651,14.69,Average,0.0547,0.0411,0.73,0.292
SKU044,Gym Gloves Basic,Fitness,Budget,12.12,4.87,0.5982,12.36,Average,0.0437,0.1673,1.16,0.064
SKU045,Travel Bottle Set Max,Beauty,Budget,10.38,5.43,0.4769,8.66,Efficient,0.0234,0.0841,0.42,0.163
SKU046,Storage Basket Basic,Home & Kitchen,Budget,16.44,10.77,0.3449,5.6,Efficient,0.0524,0.0925,0.76,0.28
SKU047,Massage Ball Plus,Fitness,Mid,27.44,16.63,0.394,8.22,Average,0.0544,0.0865,0.94,0.148
